title,url,publishedDate,updatedDate,imageUrl
"Cache Your AI Responses: Save Time and API Costs","https://medium.com/scrum-and-coke/cache-your-ai-responses-save-time-and-api-costs-b27a7820dbc2","2026-04-27","2026-04-27","https://miro.medium.com/v2/resize:fit:640/1*plHsXXR0y5mAuHdAgo9xdQ.png"
"Semantic Position Search with SQL Server Native Vector Search","https://medium.com/scrum-and-coke/semantic-position-search-with-sql-server-native-vector-search-3416e7091bae","2026-04-27","2026-04-27","https://miro.medium.com/v2/resize:fit:640/1*MdL7uSqs0Dus89rqdFONqQ.png"
"Semantic Position Search with Vector Embeddings in Angular Material","https://medium.com/scrum-and-coke/semantic-position-search-with-vector-embeddings-in-angular-material-9581bf63b6f0","2026-04-26","2026-04-26","https://miro.medium.com/v2/resize:fit:640/1*Ogu2JFgBjwfvQlXqEXPZ8Q.png"
"Natural Language Employee Search with LLM Query Parsing","https://medium.com/scrum-and-coke/natural-language-employee-search-with-llm-query-parsing-e1e16f9a6ee0","2026-04-25","2026-04-25","https://miro.medium.com/v2/resize:fit:640/1*5VHPtRQoJ8nuInig72BwUw.png"
"Natural Language Employee Search in Angular Material","https://medium.com/scrum-and-coke/natural-language-employee-search-in-angular-material-a275a8a8a6d6","2026-04-24","2026-04-24","https://miro.medium.com/v2/resize:fit:640/1*Lx6y5Gj39e6kcZoLfV4nQw.png"
"Build a Dedicated AI Section in Angular with Submenu Navigation","https://medium.com/scrum-and-coke/build-a-dedicated-ai-section-in-angular-with-submenu-navigation-5701b1365a57","2026-04-24","2026-04-24","https://miro.medium.com/v2/resize:fit:640/1*X55oT0LZWvzFF9j58vPJGg.png"
"Build an HR AI Assistant That Knows Your Data","https://medium.com/scrum-and-coke/build-an-hr-ai-assistant-that-knows-your-data-7608bfbbcd2a","2026-04-23","2026-04-23","https://miro.medium.com/v2/resize:fit:640/1*_rWeSHLqr3rJ6YYWrt8eoA.png"
"Run a Local LLM in Your .NET 10 API with Ollama","https://medium.com/scrum-and-coke/run-a-local-llm-in-your-net-10-api-with-ollama-73fab075217a","2026-04-23","2026-04-23","https://miro.medium.com/v2/resize:fit:640/1*HsjD0gR1AXCDyrgabSdZNQ.png"
"Zero Secrets in Config: Azure Key Vault for App Service and .NET Code","https://medium.com/scrum-and-coke/zero-secrets-in-config-azure-key-vault-for-app-service-and-net-code-ca7eb4f46761","2026-04-11","2026-04-20","https://miro.medium.com/v2/resize:fit:640/1*F_I0aStu-kLInUqjYBCd8A.png"
"Connect the Stack: Post-Deployment Configuration and Validation","https://medium.com/scrum-and-coke/connect-the-stack-post-deployment-configuration-and-validation-05cf7c71ddb3","2026-04-10","2026-04-10","https://miro.medium.com/v2/resize:fit:640/1*jol1VSAKAHh6bQN44u_LuQ.png"
"Deploy Angular to Azure Static Web Apps","https://medium.com/scrum-and-coke/deploy-angular-to-azure-static-web-apps-52ea4f2ca110","2026-04-10","2026-04-10","https://miro.medium.com/v2/resize:fit:640/1*Yghu28sp5QriRAMyB7wYGg.png"
"Deploy .NET API and IdentityServer to Azure App Service","https://medium.com/scrum-and-coke/deploy-net-api-and-identityserver-to-azure-app-service-fa7e7b23250b","2026-04-07","2026-04-07","https://miro.medium.com/v2/resize:fit:640/1*zTJzU29-CFiwIdTOIqz9eA.png"
"Secure CI/CD: Connect GitHub Actions to Azure Without Passwords","https://medium.com/scrum-and-coke/secure-ci-cd-connect-github-actions-to-azure-without-passwords-45ba434bf6d3","2026-04-07","2026-04-07","https://miro.medium.com/v2/resize:fit:640/1*4gDAC4SxTF1b_3RhF-BO5g.png"
